id,code,education_stage,grade,component,field,knowledge_object,description,source_document
5905232a-2130-5072-a11b-357aa45e53d1,EF06CI04,EF_AF,6,Ciências,Matéria e energia,Misturas homogêneas e heterogêneas Separação de materiais Materiais sintéticos Transformações químicas,"Associar a produção de medicamentos e outros materiais sintéticos ao desenvolvimento científico e tecnológico, reconhecendo benefícios e avaliando impactos socioambientais.","BRASIL. Base Nacional Comum Curricular (2018), p. 344–345; BNCC_EI_EF_110518_versaofinal_site.pdf, páginas do PDF 346–347"
ee3c0cfe-504d-5c03-a99c-d273f1b0d72e,EF06CI10,EF_AF,6,Ciências,Vida e evolução,Célula como unidade da vida Interação entre os sistemas locomotor e nervoso Lentes corretivas,Explicar como o funcionamento do sistema nervoso pode ser afetado por substâncias psicoativas.,"BRASIL. Base Nacional Comum Curricular (2018), p. 344–345; BNCC_EI_EF_110518_versaofinal_site.pdf, páginas do PDF 346–347"
16f32e51-1dab-5b39-8ef5-878a12b2d338,EF06CI13,EF_AF,6,Ciências,Terra e Universo,"Forma, estrutura e movimentos da Terra",Selecionar argumentos e evidências que demonstrem a esfericidade da Terra.,"BRASIL. Base Nacional Comum Curricular (2018), p. 344–345; BNCC_EI_EF_110518_versaofinal_site.pdf, páginas do PDF 346–347"
53a10d98-51fa-5264-b2d1-3e63124c6594,EF06ER01,EF_AF,6,Ensino Religioso,Crenças religiosas e filosofias de vida,Tradição escrita: registro dos ensinamentos sagrados,"Reconhecer o papel da tradição escrita na preservação de memórias, acontecimentos e ensinamentos religiosos.","BRASIL. Base Nacional Comum Curricular (2018), p. 452–453; BNCC_EI_EF_110518_versaofinal_site.pdf, páginas do PDF 454–455"
12ca1855-3e08-5e3b-a1a5-0c0b4154363b,EF06ER02,EF_AF,6,Ensino Religioso,Crenças religiosas e filosofias de vida,Tradição escrita: registro dos ensinamentos sagrados,"Reconhecer e valorizar a diversidade de textos religiosos escritos (textos do Budismo, Cristianismo, Espiritismo, Hinduísmo, Islamismo, Judaísmo, entre outros).","BRASIL. Base Nacional Comum Curricular (2018), p. 452–453; BNCC_EI_EF_110518_versaofinal_site.pdf, páginas do PDF 454–455"
505fb818-07d9-5c00-b37b-e13b1545686b,EF06ER03,EF_AF,6,Ensino Religioso,Crenças religiosas e filosofias de vida,Ensinamentos da tradição escrita,"Reconhecer, em textos escritos, ensinamentos relacionados a modos de ser e viver.","BRASIL. Base Nacional Comum Curricular (2018), p. 452–453; BNCC_EI_EF_110518_versaofinal_site.pdf, páginas do PDF 454–455"
b7a09dc6-6b38-575f-9248-994ab46ad207,EF06ER04,EF_AF,6,Ensino Religioso,Crenças religiosas e filosofias de vida,Ensinamentos da tradição escrita,Reconhecer que os textos escritos são utilizados pelas tradições religiosas de maneiras diversas.,"BRASIL. Base Nacional Comum Curricular (2018), p. 452–453; BNCC_EI_EF_110518_versaofinal_site.pdf, páginas do PDF 454–455"
5ec7cec6-880b-5d21-8baa-fa293c3f4d6a,EF06ER05,EF_AF,6,Ensino Religioso,Crenças religiosas e filosofias de vida,Ensinamentos da tradição escrita,Discutir como o estudo e a interpretação dos textos religiosos influenciam os adeptos a vivenciarem os ensinamentos das tradições religiosas.,"BRASIL. Base Nacional Comum Curricular (2018), p. 452–453; BNCC_EI_EF_110518_versaofinal_site.pdf, páginas do PDF 454–455"
62e91e69-e4a2-51b5-9530-501e8d963954,EF06ER06,EF_AF,6,Ensino Religioso,Crenças religiosas e filosofias de vida,"Símbolos, ritos e mitos religiosos","Reconhecer a importância dos mitos, ritos, símbolos e textos na estruturação das diferentes crenças, tradições e movimentos religiosos.","BRASIL. Base Nacional Comum Curricular (2018), p. 452–453; BNCC_EI_EF_110518_versaofinal_site.pdf, páginas do PDF 454–455"
8cc6c5a9-c138-54df-82f0-2f00a3462a5c,EF06GE01,EF_AF,6,Geografia,O sujeito e seu lugar no mundo,Identidade sociocultural,Comparar modificações das paisagens nos lugares de vivência e os usos desses lugares em diferentes tempos.,"BRASIL. Base Nacional Comum Curricular (2018), p. 384–385; BNCC_EI_EF_110518_versaofinal_site.pdf, páginas do PDF 386–387"
97319db0-cf94-5520-ac09-c8ee1311949d,EF06GE02,EF_AF,6,Geografia,O sujeito e seu lugar no mundo,Identidade sociocultural,"Analisar modificações de paisagens por diferentes tipos de sociedade, com destaque para os povos originários.","BRASIL. Base Nacional Comum Curricular (2018), p. 384–385; BNCC_EI_EF_110518_versaofinal_site.pdf, páginas do PDF 386–387"
9fc4d938-af39-5197-8a93-759175ccf95f,EF06GE03,EF_AF,6,Geografia,Conexões e escalas,Relações entre os componentes físico-naturais,"Descrever os movimentos do planeta e sua relação com a circulação geral da atmosfera, o tempo atmosférico e os padrões climáticos.","BRASIL. Base Nacional Comum Curricular (2018), p. 384–385; BNCC_EI_EF_110518_versaofinal_site.pdf, páginas do PDF 386–387"
8535139a-dc86-5baf-9c33-348fac532e0a,EF06GE04,EF_AF,6,Geografia,Conexões e escalas,Relações entre os componentes físico-naturais,"Descrever o ciclo da água, comparando o escoamento superficial no ambiente urbano e rural, reconhecendo os principais componentes da morfologia das bacias e das redes hidrográficas e a sua localização no modelado da superfície terrestre e da cobertura vegetal.","BRASIL. Base Nacional Comum Curricular (2018), p. 384–385; BNCC_EI_EF_110518_versaofinal_site.pdf, páginas do PDF 386–387"
3e387493-62fc-5240-b205-f76e10ffff4d,EF06GE05,EF_AF,6,Geografia,Conexões e escalas,Relações entre os componentes físico-naturais,"Relacionar padrões climáticos, tipos de solo, relevo e formações vegetais.","BRASIL. Base Nacional Comum Curricular (2018), p. 384–385; BNCC_EI_EF_110518_versaofinal_site.pdf, páginas do PDF 386–387"
3c6bf835-901a-562b-b772-542a3fd887fc,EF06GE06,EF_AF,6,Geografia,Mundo do trabalho,Transformação das paisagens naturais e antrópicas,Identificar as características das paisagens transformadas pelo trabalho humano a partir do desenvolvimento da agropecuária e do processo de industrialização.,"BRASIL. Base Nacional Comum Curricular (2018), p. 384–385; BNCC_EI_EF_110518_versaofinal_site.pdf, páginas do PDF 386–387"
01555b91-7231-53f8-aac5-2ccba5fdeb83,EF06GE07,EF_AF,6,Geografia,Mundo do trabalho,Transformação das paisagens naturais e antrópicas,Explicar as mudanças na interação humana com a natureza a partir do surgimento das cidades.,"BRASIL. Base Nacional Comum Curricular (2018), p. 384–385; BNCC_EI_EF_110518_versaofinal_site.pdf, páginas do PDF 386–387"
