id,theories,name,description,instructional_implication
b49b8a10-a454-5b8e-acf3-aa70d7c60678,"[""Aprendizagem significativa — David Ausubel""]",Conhecimentos prévios relevantes,"A aprendizagem significativa depende da interação do novo conhecimento com conhecimentos especificamente relevantes da estrutura cognitiva do aprendiz, denominados subsunçores.",Investigar as ideias dos estudantes relacionadas ao conceito central antes de selecionar a explicação e os excertos do debate.
0c25e067-abcf-563e-a103-cdec7677f2d6,"[""Aprendizagem significativa — David Ausubel""]",Relação não arbitrária e substantiva,"O significado é construído pela relação substantiva, e não pela reprodução literal, entre a informação nova e a estrutura cognitiva. A aprendizagem requer material potencialmente significativo e disposição do aprendiz para estabelecer essa relação.","Solicitar explicações em palavras próprias e tornar explícita a pertinência conceitual do material, sem presumir que interesse temático assegura aprendizagem."
118076da-bc6d-5432-ae6d-c689c3e979b4,"[""Aprendizagem significativa — David Ausubel""]",Organizadores prévios,"Um organizador prévio é apresentado antes do material de aprendizagem em nível mais geral, abstrato e inclusivo, para estabelecer uma ponte entre o que o aprendiz sabe e o que precisa saber.","Usar uma apresentação conceitual de ligação quando necessária; um resumo do debate ou uma lista de objetivos não constitui, por si só, um organizador prévio."
7f426deb-c38b-5702-8a56-a6ce48931a9c,"[""Aprendizagem significativa — David Ausubel""]",Diferenciação progressiva,As ideias mais gerais e inclusivas são apresentadas primeiro e progressivamente diferenciadas em seus detalhes e especificidades.,Organizar o percurso do conceito abrangente para distinções e casos particulares pertinentes ao debate.
be507169-e998-5621-8dd2-c3c5a55cd1e7,"[""Aprendizagem significativa — David Ausubel""]",Reconciliação integrativa,"Relações entre ideias são exploradas para identificar semelhanças, diferenças e inconsistências aparentes ou reais, reorganizando significados anteriormente estabelecidos.",Confrontar conceitos e explicações sem confundir reconciliação conceitual com obrigação de consenso político.
9fa8ce7e-95e0-58ba-939c-45f6a50dd865,"[""Aprendizagem significativa — David Ausubel""]",Organização sequencial e consolidação,"A organização sequencial considera dependências entre conhecimentos, e a consolidação exige verificar a compreensão da base necessária antes de introduzir conteúdos que dela dependem.",Estabelecer pré-requisitos e pontos de verificação que orientem retomadas e progressão docente.
7045693d-e9df-5579-84c2-dd45bc047521,"[""Aprendizagem significativa — David Ausubel""]",Evidências de compreensão em novas situações,"A compreensão significativa deve ser examinada por situações e formulações novas, pois respostas corretas a exemplos familiares podem decorrer de memorização.",Avaliar a aplicação justificada dos conceitos em um caso diferente daquele usado na explicação.
2c4828b3-b9eb-5c38-8ce9-a445faa7818a,"[""Teoria de ensino e descoberta dirigida — Jerome Bruner"",""Aprendizagem significativa — David Ausubel""]",Estrutura do conhecimento,A compreensão de ideias fundamentais e de suas relações favorece a organização do conhecimento e sua aplicação a outras situações. Essa estrutura deve ser relacionada aos problemas e contextos da educação.,"Escolher poucas relações centrais que permitam interpretar os excertos, evitando a acumulação de informações desconectadas."
5f6ed925-138b-52a7-9899-2b8a10c87f74,"[""Teoria de ensino e descoberta dirigida — Jerome Bruner""]",Descoberta dirigida,"A descoberta envolve exploração de alternativas pelo aprendiz, orientada por condições e intervenções de ensino; não equivale à ausência de direção ou à exposição sem apoio a um problema.",Organizar pistas e perguntas que permitam aos estudantes construir uma interpretação antes de receber uma síntese pronta.
0368e28d-93b2-5388-8397-4f19435fa3e5,"[""Teoria de ensino e descoberta dirigida — Jerome Bruner""]",Modos de representação,"O conhecimento pode ser representado por ações, imagens e sistemas simbólicos. Esses modos não devem ser convertidos em estilos fixos de aprendizagem nem em rótulos rígidos por idade.","Articular formas de representação quando contribuírem para compreender a mesma relação, considerando recursos e acessibilidade."
1b6663cc-3a88-574b-91bb-965ada175524,"[""Teoria de ensino e descoberta dirigida — Jerome Bruner""]",Predisposição e exploração de alternativas,"A disposição para explorar depende das condições de ativação, manutenção e direção da exploração. A incerteza precisa ser suficiente para suscitar investigação sem desorganizar a atividade.","Introduzir um problema acessível, uma finalidade clara e alternativas que possam ser examinadas com as evidências disponíveis."
d1ad2d8e-387c-5e5b-84b6-2b21c1c20149,"[""Teoria de ensino e descoberta dirigida — Jerome Bruner""]",Currículo em espiral,"Conceitos e atividades são revisitados em situações progressivamente mais complexas e em diferentes formas de representação, permitindo aprofundamento ao longo do percurso curricular.",Planejar retomadas articuladas entre aulas; repetir o mesmo exercício numa única aula não caracteriza uma organização curricular em espiral.
2473fab0-d84d-55e1-96e4-d64a40d42bd2,"[""Teoria de ensino e descoberta dirigida — Jerome Bruner""]",Sequenciamento e contraste de exemplos,"A sequência de ensino deve favorecer a compreensão da estrutura, considerando a experiência do aprendiz, os modos de representação e os contrastes entre situações.",Selecionar exemplos e contrastes que tornem perceptível a relação investigada antes da formalização mais abstrata.
35e3c4bb-f760-5109-98ca-e7ee3e35a55c,"[""Teoria de ensino e descoberta dirigida — Jerome Bruner""]",Informação corretiva e autocontrole,"A informação sobre resultados deve ser oportuna e utilizável pelo aprendiz, favorecendo a correção de seu percurso e a progressiva independência em relação à orientação externa.","Oferecer devolutivas que indiquem como revisar uma explicação, seguidas de oportunidade de revisão e autoavaliação."
fc56b815-54de-57ab-b6bc-813377f79c41,"[""Teoria da mediação — Lev Vygotsky""]","Constituição social, histórica e cultural","O desenvolvimento cognitivo não pode ser compreendido à parte do contexto social, histórico e cultural e das práticas nas quais instrumentos e signos adquirem significado.",Situar as falas legislativas em suas condições de produção e relacioná-las às práticas sociais em estudo.
7b0d253c-7134-54c2-bcc0-0f26cd9a6216,"[""Teoria da mediação — Lev Vygotsky""]",Mediação por instrumentos e signos,A relação humana com o mundo é mediada por instrumentos e sistemas de signos produzidos socialmente; a linguagem participa da organização das funções psicológicas superiores.,"Empregar recursos de análise como instrumentos para orientar a atividade, sem confundir a disponibilidade da ferramenta com a ocorrência da aprendizagem."
b19ab5c0-dfc7-5208-aacf-7055c10a12fc,"[""Teoria da mediação — Lev Vygotsky"",""Pedagogia dialógica e problematizadora — Paulo Freire""]",Interação social e intercâmbio de significados,A interação social envolve participação ativa e intercâmbio de significados entre sujeitos; reunir estudantes ou disponibilizar mensagens não assegura esse processo.,"Estruturar tarefas em que os participantes precisem compreender, responder e reelaborar as contribuições dos colegas."
37d7707e-7da2-5659-9e79-67a336f8681e,"[""Teoria da mediação — Lev Vygotsky""]",Zona de desenvolvimento proximal,A zona de desenvolvimento proximal refere-se à distância entre o desempenho independente e o desempenho possível com orientação ou colaboração qualificada.,"Comparar tentativas sem e com ajuda para ajustar desafios e mediação, sem transformar a zona em atributo fixo do aluno."
14708ece-8fb6-5ded-9cdd-f642b725979b,"[""Teoria da mediação — Lev Vygotsky""]",Internalização como reconstrução,Processos constituídos nas relações sociais são reconstruídos no plano individual. A internalização não é mera cópia de uma explicação externa.,Articular elaboração compartilhada e produção individual que permita observar apropriação e transformação dos significados.
5613e69a-7215-5367-bcd8-7f542505c873,"[""Teoria da mediação — Lev Vygotsky""]",Linguagem e regulação da atividade,"A linguagem, além da comunicação interpessoal, participa do planejamento e da organização da própria ação.",Solicitar a explicitação de planos e justificativas para favorecer o acompanhamento do raciocínio pelo estudante e pelo professor.
5813ba30-6ecc-5795-b96a-ef5e496bb93e,"[""Teoria da mediação — Lev Vygotsky""]",Elaboração de significados e conceitos,"A formação de conceitos envolve generalização e transformação de significados no intercâmbio social, e não apenas associação mecânica entre palavras e objetos.","Explorar usos, exemplos e limites de conceitos, permitindo reformulações ao longo da atividade."
7bed4349-3cad-50a0-98cf-2f33b580df57,"[""Pedagogia dialógica e problematizadora — Paulo Freire""]",Dialogicidade,"A educação dialógica envolve sujeitos que interrogam e interpretam o mundo em relação, em oposição à transferência unilateral de conteúdos da educação bancária.","Criar espaços de pergunta, escuta e resposta em que as contribuições dos estudantes possam alterar o percurso da atividade."
f92d8ff8-f0ea-54ac-9389-994e585f994b,"[""Pedagogia dialógica e problematizadora — Paulo Freire""]",Educação problematizadora,"A realidade é tomada como objeto de conhecimento e questionamento, permitindo examinar condições e relações que não devem ser tratadas como naturais ou imutáveis.","Transformar o tema do debate em problema investigável que relacione situações, decisões, interesses e consequências."
eec73523-6cce-5590-8529-3dd265585fba,"[""Pedagogia dialógica e problematizadora — Paulo Freire""]",Investigação de temas geradores,"Temas geradores emergem da investigação do universo temático e das situações vividas pelos sujeitos, articulando experiência e leitura crítica da realidade.","Tratar o assunto sugerido pelo sistema como sugestão inicial a ser discutida com a turma, sem equipará-la a um tema gerador obtido pela investigação dialogada."
8151eb54-d7af-5af5-a0ae-c3ccba060f86,"[""Pedagogia dialógica e problematizadora — Paulo Freire""]",Codificação e decodificação de situações,"Situações existenciais podem ser representadas e analisadas para explicitar relações e contradições, articulando partes e totalidade na compreensão da realidade.","Utilizar uma representação contextualizada de uma situação como objeto de análise crítica, preservando a diferença entre registro e construção didática."
0fdc9919-d112-517a-a30a-ab9f7b7cf5c7,"[""Pedagogia dialógica e problematizadora — Paulo Freire""]",Curiosidade epistemológica e rigor,"A curiosidade pode tornar-se epistemológica por meio de investigação rigorosa, superando explicações ingênuas sem desqualificar os saberes dos educandos.","Partir de interpretações iniciais para formular perguntas verificáveis e confrontar fontes, critérios e limites das explicações."
393205a1-3228-529e-92d6-84558f34574d,"[""Pedagogia dialógica e problematizadora — Paulo Freire""]",Reflexão e ação transformadora,"A práxis articula reflexão e ação sobre a realidade, evitando tanto o verbalismo sem ação quanto o ativismo sem reflexão.","Vincular a análise a possibilidades de intervenção examinadas quanto a fundamentos, destinatários, condições e consequências."
439cc623-1a82-5e7d-af4a-df2ed9021ed5,"[""Pedagogia dialógica e problematizadora — Paulo Freire""]","Autonomia, respeito e responsabilidade docente","Ensinar exige respeito aos saberes e à autonomia dos educandos, escuta e responsabilidade ética, sem confundir autoridade docente com autoritarismo ou ausência de orientação.","Preservar escolhas argumentadas dos estudantes e a mediação do professor, com critérios que não premiem adesão política."
fe6918bc-7022-5a4c-91af-83b88c099ac3,"[""Teoria da experiência — John Dewey""]",Ação e consequências da experiência,A experiência articula a ação exercida sobre uma situação e as consequências vividas dessa ação. A mera execução de uma tarefa não a torna educativa.,"Planejar atividades em que os estudantes relacionem decisões, consequências e o conhecimento que delas pode ser construído."
dd7d7a15-4dcb-5cda-9c88-f3d2f77e70fc,"[""Teoria da experiência — John Dewey""]",Continuidade da experiência,Cada experiência se relaciona às anteriores e influencia as possibilidades das seguintes; seu valor educativo depende da qualidade dessas conexões e das aprendizagens que favorece.,"Conectar a atividade a experiências anteriores e a novas possibilidades de investigação, sem encerrar o percurso em uma vivência isolada."
d25531a3-210d-56c2-8193-bff5aeb58375,"[""Teoria da experiência — John Dewey""]",Interesse e finalidade da atividade,"O interesse relaciona o sujeito, as condições da atividade e seus fins, sustentando o envolvimento em um percurso que faz sentido; não se reduz à diversão ou a um estímulo externo.","Tornar perceptível a relação entre o problema, as condições de vida e os objetivos de conhecimento da turma."
3ed98bc5-39cd-5c60-83df-72ff9653c649,"[""Teoria da experiência — John Dewey"",""Teoria de ensino e descoberta dirigida — Jerome Bruner""]",Investigação de situações problemáticas,"Uma dificuldade ou incerteza pode desencadear investigação, com exame das condições, elaboração de hipóteses e consideração de suas consequências à luz das evidências.","Organizar problemas que permitam formular, examinar e revisar explicações com materiais e tempo disponíveis."
d2acd2ee-04dc-594a-b17d-12fad7809ed4,"[""Teoria da experiência — John Dewey""]",Reflexão sobre relações e resultados,"A reflexão examina as relações entre ações, condições e consequências para transformar a experiência em compreensão; realizar ou relatar uma atividade não basta.",Reservar tempo e perguntas específicas para analisar o percurso e os fundamentos das conclusões.
8a9351ad-b616-5a0a-a296-6e06b170c4c7,"[""Teoria da experiência — John Dewey""]",Experiência democrática e participação,"A educação relaciona-se à vida democrática por meio da participação, da comunicação e de experiências compartilhadas que ampliem possibilidades de ação e aprendizagem.","Organizar a discussão como prática de participação com escuta, exame de consequências comuns e revisão de decisões."
1c5ec06c-f1e1-56d4-b88e-438588862055,"[""Teoria da experiência — John Dewey"",""Teoria de ensino e descoberta dirigida — Jerome Bruner""]",Organização docente de experiências educativas,"Cabe ao educador organizar condições e selecionar experiências capazes de favorecer crescimento e investigação, articulando liberdade de participação e direção pedagógica.","Propor atividades realizáveis e abertas à iniciativa discente, com mediação, recursos e critérios de acompanhamento explícitos."
